기관명,기관명(영문),소속기관,기관 구분,학술지한글명,학술지외국어명,P-ISSN,E-ISSN,대분류,중분류,사용언어,등재구분,창간년도,발행간기
법학연구소,"The Institute for Legal Studies, INHA UNIVERSITY",인하대학교,대학부설연구소,IP & Data 法,IP&Data Law,2765-7884,,사회과학,법학,한국어,등재,202106,연2회
IT와 법연구소,IT & Law Research Institute,경북대학교,대학부설연구소,IT와 법연구,IT&LAW REVIEW,1975-8766,2713-8836,사회과학,법학,한국어,등재,200701,연2회
(사) 이준국제법연구원,YIJUN Institute of International Law,,학회,Journal of East Asia and International Law,Journal of East Asia and Internaional Law,1976-9229,2287-9218,사회과학,법학,영어,등재,2008,연2회
아시아태평양법연구소,Asia Pacific Law Institute,서울대학교,대학부설연구소,Journal of Korean Law,,1598-1681,,사회과학,법학,영어,등재,200102,연2회
한국법제연구원,Korea Legislation Research Institute,,일반기관,Korea Legislation Research Institute Journal of Law and Legislation,Korea Legislation Research Institute Journal of Law and Legislation,2234-7526,,사회과학,법학,영어,등재,201112,연2회
법학연구소,Chungnam National University Law Research Institute,충남대학교,대학부설연구소,The Journal of Law & IP,,2635-5132,,사회과학,법학,한국어,등재,201012,연2회
법학연구원,Institute of Legal Research Chung-Ang University,중앙대학교,대학부설연구소,法學論文集,,1225-5726,,사회과학,법학,한국어,등재,197309,연3회
한국가족법학회,The Korean Society Of Family Law,,학회,가족법연구,Korean Journal of Family Law,1225-1224,,사회과학,법학,한국어,등재,1984,연3회
법학연구소,,가천대학교,대학부설연구소,가천법학,Gachon Law Review,2713-8151,2713-816X,사회과학,법학,한국어,등재,200812,연4회
비교법학연구소,"Institute of Comparative Legal Studies, Kangwon National  University",강원대학교,대학부설연구소,강원법학,kangwon Law Review,1229-4578,2713-6264,사회과학,법학,한국어,등재,198507,연4회
사단법인 한국건설법무학회,Korean Society of Construction Legal Affairs,,학회,건설법무,Construction law ,2466-0035,,사회과학,법학,한국어,등재,2015,연1회
사단법인 건설법학회,Construction and Urban Development Law Association,,학회,건설법연구,Construction & Urban Development Law Association,2671-5104,,사회과학,법학,한국어,등재후보,201903,연2회
한국경영법률학회,The Korean Academic Society Of Business Administration And Law,,학회,경영법률,Journal of Business Administration & Law,1229-3261,,사회과학,법학,한국어,등재,1985,연4회
한국경쟁법학회,Korean Competition Law Association,,학회,경쟁법연구,Journal of Korean Competition Law,1598-2335,2671-6402,사회과학,법학,한국어,등재,1989,연2회
법학연구소,The Law Research Institute Seoul National University,서울대학교,대학부설연구소,경제규제와 법,,2005-0372,,사회과학,법학,한국어,등재,200805,연2회
한국경제법학회,Korea Economic Law Association,,학회,경제법연구,,1738-5458,2713-6299,사회과학,법학,한국어,등재,1982,연3회
한국경찰법학회,Korean Association  of  Police & Law,,학회,경찰법연구,Journal of Police & Law,1598-8961,2714-1365,사회과학,법학,한국어,등재,200306,연3회
경찰대학,Korea National Police University,경찰대학,대학부설연구소,경찰학연구,The Journal of Police Science,1598-3714,2733-418X,사회과학,법학,한국어,등재,2001,연4회
법학연구소,"The Institute of Legal Studies, Kyunghee University",경희대학교,대학부설연구소,경희법학,Kyung Hee Law Journal,1229-2478,,사회과학,법학,한국어,등재,195812,연4회
한국저작권위원회,Korea Copyright Commission,,학회,계간 저작권,Copyright Quarterly,1226-0967,,사회과학,법학,한국어,등재,1988,연4회
법학연구원,Legal Research Institute of Korea University ,고려대학교,대학부설연구소,고려법학,Korea Law Review,1598-1584,2672-0736,사회과학,법학,한국어,등재,195803,연4회
한국공법학회,Korean Public Law Association,,학회,공법연구,Public Law,1225-4444,,사회과학,법학,한국어,우수등재,1971,연4회
한국비교공법학회,Korean Comparative Public Law Association,,학회,공법학연구,Public Law Journal,1598-1304,,사회과학,법학,한국어,등재,1999,연4회
법학연구소,"Law Research Institute, Chungbuk National University",충북대학교,대학부설연구소,과학기술과 법,"Science, Technology and Law",2093-5927,2671-5996,사회과학,법학,한국어,등재,201006,연2회
과학기술법연구원,Institute for Law of Science & Technology,한남대학교,대학부설연구소,과학기술법연구,,1226-4148,2671-5295,사회과학,법학,한국어,등재,199512,연3회
아시아교정포럼,Asian Forum for Corrections,,학회,교정담론,Korean Journal of Correctional Discourse,1976-9121,,사회과학,법학,한국어,등재,2007,연3회
한국교정학회,Korean Society for Corrections Service,,학회,교정연구,Corrections Review,1226-6809,2466-0698,사회과학,법학,한국어,등재,199106,연3회
사단법인 교통법정책학회,Korean Traffic Law Assocition,,학회,교통학연구,,2951-6226,,사회과학,법학,한국어,등재후보,2022,연2회
사단법인 한국국가법학회,National Public Law Association of Korea,,학회,국가법연구,National Public law Review,1738-7310,,사회과학,법학,한국어,등재,2005,연4회
국제거래법학회,Korea International Trade Law Association,,학회,국제거래법연구,Korean Forum on International Trade and Business Law,1229-3822,,사회과학,법학,한국어,등재,1992,연2회
법학연구소,The Institute for Legal Studies Dong-A University ,동아대학교,대학부설연구소,국제거래와 법,Journal of International Business Transactions Law,2982-5903,2982-5946,사회과학,법학,한국어,등재,200909,연4회
(사)한국국제경제법학회,Korean Society of International Economic Law,,학회,국제경제법연구,Korean Journal of International Economic Law,2005-9949,2714-1209,사회과학,법학,한국어,등재,2003,연3회
법과정책연구원,The Institute of Law & Policy Jeju National University,제주대학교,대학부설연구소,국제법무,International Law Review,2005-9973,,사회과학,법학,한국어,등재,200905,연2회
법무부,Ministry of Justice,,학회,국제법무연구,Journal of International Legal Affairs ,3092-1406,3092-1392,사회과학,법학,한국어,등재,199502,연4회
국제법평론회,Korea International Law Review,,학회,국제법평론,Korea International Law Review,1226-7880,,사회과학,법학,한국어,등재,1993,연3회
대한국제법학회,The Korean Society Of International Law,,학회,국제법학회논총,The Korean Journal of International Law,1226-2994,,사회과학,법학,한국어,등재,195603,연4회
한국국제사법학회,Korea Private International Law Association,,학회,국제사법연구,Korea Private International Law Journal,1738-6306,,사회과학,법학,한국어,등재,199512,연2회
국제해양법학회,The Korean Society of The Law of the Sea,,학회,국제해양법연구,The Korean Journal of the Law of the Sea,2586-4505,,사회과학,법학,한국어,등재후보,201712,연2회
한국금융법학회,,,학회,금융법연구,Korea Financial Law Association,1738-3706,,사회과학,법학,한국어,등재,2004,연3회
한국기업법학회,,,학회,기업법연구,Business Law  Review,1598-3722,2733-6700,사회과학,법학,한국어,등재,1994,연4회
한국비교노동법학회,The Korea Society Of Comparative Labor Law,,학회,노동법논총,The Journal of Labor Law,1229-4314,,사회과학,법학,한국어,등재,1998,연3회
서울대학교노동법연구회,,,학회,노동법연구,Labor Law Review,1228-2499,,사회과학,법학,한국어,등재,1991,연2회
노동법이론실무학회,society of laborlaw theory and profession,,학회,노동법포럼,labor law forum,2005-4645,,사회과학,법학,한국어,등재,2008,연3회
한국노동법학회,The Korea Society Of Labor Law,,학회,노동법학,Journal of Labour Law,1229-2141,,사회과학,법학,한국어,우수등재,198709,연4회
(사)한국동물법연구회,Korea Animal Law Association,,학회,동물법연구,,2713-9301,,사회과학,법학,한국어,등재후보,202002,연1회
동북아법연구소,The Institute for Northeast Asian Law Chonbuk National University,전북대학교,대학부설연구소,동북아법연구,,1976-5037,,사회과학,법학,한국어,등재,200706,연3회
법학연구소,The Institute for Legal Studies Dong-A University ,동아대학교,대학부설연구소,동아법학,DONG-A LAW REVIEW,1225-3405,2713-5470,사회과학,법학,한국어,등재,198511,연4회
사)디지털금융법포럼,Digital Financial Law Forum,,학회,디지털금융법연구,Korean Journal of Digital Financial Law,3022-4861,,사회과학,법학,한국어,등재후보,202306,연2회
법학연구소,Myongji University Law Research Institute,명지대학교(서울캠퍼스),대학부설연구소,명지법학,Myongji Law Review,1229-7585,2765-4869,사회과학,법학,한국어,등재,200002,연2회
법학연구원 문화.미디어.엔터테인먼트법연구소,"The institute for Culture, Media, and Entertainment Laws",중앙대학교,대학부설연구소,문화미디어엔터테인먼트법,,2092-6138,2713-9417,사회과학,법학,한국어,등재,200710,연2회
한국문화예술법학회,Korean Culture - Art Law Association,,학회,문화예술과 법,,2799-2802,,사회과학,법학,한국어,등재후보,2021,연2회
미국헌법학회,,,학회,미국헌법연구,Study on The American Constitution,1225-4746,,사회과학,법학,한국어,등재,199011,연3회
민사법의 이론과 실무학회,The Association of Theory and Practice of  Private Law,,학회,민사법의 이론과 실무,,1598-9801,,사회과학,법학,한국어,등재,1997,연3회
한국민사법학회,Korean Civil Law Association,,학회,민사법학,The Korean Journal of Civil Law,1226-5004,,사회과학,법학,한국어,우수등재,1978,연4회
한국민사소송법학회,Korean Association Of The Law Of Civil Procedure,,학회,민사소송,CIVIL PROCEDURE,1226-7686,,사회과학,법학,한국어,등재,1998,연3회
