source_id,target_arti_id,ref_type,raw_citation
ART003152319,,,"<reference refebibl-id=""REF071241278"" type-code=""01"" type-name=""학술지(정기간행물)"">
          <title>The text and data mining opt-out in Article 4(3) CDSMD: Adequate veto right for rightholders or a suffocating blanket for European artificial intelligence innovations?</title>
          <author>Gina Maria Ziaja</author>
          <journal-name>Journal of Intellectual Property Law &amp; Practice</journal-name>
          <pubi-year>2024</pubi-year>
          <volume>19</volume>
          <isseue>5</isseue>
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003152319,,학술지(정기간행물),"<title>Twitters Beware: The Display and Performance Rights</title>
          <author>Jie Lian</author>
          <journal-name>Yale J. L. &amp; Tech</journal-name>
          <pubi-year>2019</pubi-year>
          <volume>21</volume>
          <isseue />
          <serno />
          <page>227-</page>
          <pubilisher />
          <doi />"
ART003152319,,학술지(정기간행물),"<title>Using the ImpliedLicense to Inject Common Sense into Digital Copyright</title>
          <author>John S. Sieman</author>
          <journal-name>N.C. L. Rev</journal-name>
          <pubi-year>2007</pubi-year>
          <volume>85</volume>
          <isseue />
          <serno />
          <page>885-</page>
          <pubilisher />
          <doi />"
ART003152319,,학술지(정기간행물),"<title>The Justices of Rules and Standards</title>
          <author>Kathleen Sullivan</author>
          <journal-name>HARV. L. REV</journal-name>
          <pubi-year>1992</pubi-year>
          <volume>106</volume>
          <isseue />
          <serno />
          <page>22-</page>
          <pubilisher />
          <doi />"
ART003152319,,학술지(정기간행물),"<title>Note, Opting Out: Procedural Fair Use</title>
          <author>Michael R. Mattioli</author>
          <journal-name>VA. J.L. &amp; TECH</journal-name>
          <pubi-year>2007</pubi-year>
          <volume>12</volume>
          <isseue />
          <serno />
          <page>1-</page>
          <pubilisher />
          <doi />"
ART003152319,,학술지(정기간행물),"<title>Copyright Protection in an Opt-Out World: Implied License Doctrine and News Aggregators</title>
          <author>Monika Isia Jasiewicz</author>
          <journal-name>Yale L. J</journal-name>
          <pubi-year>2012</pubi-year>
          <volume>122</volume>
          <isseue />
          <serno />
          <page>837-</page>
          <pubilisher />
          <doi />"
ART003152319,,학술지(정기간행물),"<title>Implied License: An Emerging New Standard in Copyright Law</title>
          <author>Orit Afori</author>
          <journal-name>Santa Clara High Tech. L.J</journal-name>
          <pubi-year>2009</pubi-year>
          <volume>25</volume>
          <isseue />
          <serno />
          <page>275-</page>
          <pubilisher />
          <doi />"
ART003152319,,학술지(정기간행물),"<title>Rebirth of Opt-in System in Copyright: Analysis in the Light of ‘Google Books’ Controversy</title>
          <author>Tabrez Ahamd</author>
          <journal-name>J Int. Prop. Rights</journal-name>
          <pubi-year>2011</pubi-year>
          <volume />
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003152319,,학술지(정기간행물),"<title>Ticketmaster Corp. v. Tickets.com, Inc.: Preserving Minimum Requirements of Contract on the Internet</title>
          <author>Tarra Zynda</author>
          <journal-name>Berkeley Tech. L.J</journal-name>
          <pubi-year>2004</pubi-year>
          <volume>19</volume>
          <isseue />
          <serno />
          <page>495-</page>
          <pubilisher />
          <doi />"
ART003089612,,,"<reference refebibl-id=""REF071240507"" type-code=""03"" type-name=""단행본"">
          <title>인공지능법 총론</title>
          <author>인하대학교 법학연구소 AI·데이터법 센터</author>
          <pubilisher>세창출판사</pubilisher>
          <pubi-year>2023</pubi-year>
          <page>-</page>"
